sim_time_sec,commanded_effort_Nm,joint_position_rad,joint_velocity_rad_per_sec
1748403543.7653246,0.0,-1.5707963268681466,-9.441035507688457e-12
1748403543.7851322,0.0,-1.5707963268683376,-9.441038948522643e-12
1748403543.80536,0.0,-1.5707963268685285,-9.441021428420246e-12
1748403543.8254466,0.0,-1.5707963268687195,-9.441021668502426e-12
1748403543.8452172,0.0,-1.5707963268689105,-9.441024617062565e-12
1748403543.8653936,0.0,-1.5707963268691014,-9.441030158913143e-12
1748403543.885202,0.0,-1.5707963268692924,-9.441028880826787e-12
1748403543.905351,0.0,-1.5707963268694833,-9.44102721680219e-12
1748403543.9252446,0.0,-1.5707963268696743,-9.441038421745706e-12
1748403543.9458277,0.0,-1.5707963268698653,-9.441037488251172e-12
1748403543.9655502,0.0,-1.5707963268698653,-9.441037488251172e-12
1748403543.9853892,0.0,-1.5707963268700562,-9.441031228374538e-12
1748403544.0052545,0.0,-1.5707963268702472,-9.441044780471481e-12
1748403544.02522,0.0,-1.5707963268704381,-9.441035615207275e-12
1748403544.045825,0.0,-1.570796326870629,-9.44103390195527e-12
1748403544.065631,0.0,-1.57079632687082,-9.441028618745731e-12
1748403544.0855215,0.0,-1.570796326871011,-9.441028858827913e-12
1748403544.105758,0.0,-1.570796326871202,-9.441033030192164e-12
1748403544.1253805,0.0,-1.570796326871393,-9.441028288484075e-12
1748403544.1452084,0.0,-1.5707963268715839,-9.44103113858941e-12
1748403544.1656578,0.0,-1.5707963268717748,-9.441040833245382e-12
1748403544.185424,0.0,-1.5707963268719658,-9.44102966541959e-12
1748403544.205451,0.0,-1.5707963268721568,-9.44102682781828e-12
1748403544.2253842,0.0,-1.5707963268723477,-9.441037129935811e-12
1748403544.2459886,0.0,-1.5707963268725387,-9.441030311825025e-12
1748403544.2652624,0.0,-1.5707963268727296,-9.441034483189279e-12
1748403544.2854178,0.0,-1.5707963268729206,-9.441041075548065e-12
1748403544.305468,0.0,-1.5707963268731115,-9.441018450586893e-12
1748403544.325459,0.0,-1.5707963268733025,-9.44103620471663e-12
1748403544.3452518,0.0,-1.5707963268734935,-9.44103136455373e-12
1748403544.365384,0.0,-1.5707963268736844,-9.44102945439211e-12
1748403544.3853512,0.0,-1.5707963268738754,-9.441027519616786e-12
1748403544.4052181,0.0,-1.5707963268740663,-9.441036869680923e-12
1748403544.4253097,0.0,-1.5707963268742573,-9.441033835169993e-12
1748403544.445241,0.0,-1.5707963268744483,-9.44103089911387e-12
1748403544.4657333,0.0,-1.5707963268746392,-9.441027963057751e-12
1748403544.485316,0.0,-1.5707963268748302,-9.441036410295911e-12
1748403544.505366,0.0,-1.5707963268750211,-9.441037577817777e-12
1748403544.5272934,0.0,-1.570796326875212,-9.4410308089344e-12
1748403544.5452564,200.0,-1.570796326875403,-9.441041940036814e-12
1748403544.5652356,200.0,-1.570796326875594,-9.441031116802847e-12
1748403544.5854745,200.0,-1.5694362965540827,0.12948964092950252
1748403544.6053493,200.0,-1.5654904670872578,0.258531280016896
1748403544.626063,200.0,-1.5654904670872578,0.258531280016896
1748403544.6454165,200.0,-1.558972262217784,0.38670095096401536
1748403544.6658397,200.0,-1.5499034918821053,0.5135843031363481
1748403544.6852765,200.0,-1.5383141107266807,0.6387812713813419
1748403544.7055125,200.0,-1.5242418841646137,0.7619106525194687
1748403544.7255669,200.0,-1.5077319641699813,0.8826145554674766
1748403544.74555,200.0,-1.4888363777199713,1.0005626881028393
1748403544.765664,200.0,-1.4676134315642013,1.115456441028005
1748403544.7852821,200.0,-1.444127037820465,1.2270327263303547
1748403544.8055315,200.0,-1.4184459657462836,1.3350675284617972
1748403544.825554,200.0,-1.390643025892726,1.4393791247878174
1748403544.845213,200.0,-1.3607941936708,1.5398309359169167
1748403544.86554,200.0,-1.3289776801171929,1.6363339703618585
1748403544.8856604,200.0,-1.295272958284414,1.7288488350676736
1748403544.9054894,200.0,-1.259759754160919,1.8173872922127903
1748403544.9253047,200.0,-1.222517011304975,1.902013353692401
1748403544.9455051,200.0,-1.18362183841867,1.9828439173078716
1748403544.9652283,200.0,-1.1431484488670558,2.0600489622065887
1748403544.9854763,200.0,-1.1011671006484047,2.133851335210373
1748403545.0054064,200.0,-1.0577430445399034,2.20452617381171
1748403545.0254228,200.0,-1.012935487092019,2.272400024391281
1748403545.0453413,200.0,-0.9667965738424993,2.337849726279866
1748403545.0651577,200.0,-0.9193703966070567,2.4013011417802823
1748403545.0856116,200.0,-0.8706920270178328,2.4632278197389654
1748403545.1053913,200.0,-0.82078657667649,2.524149684721018
1748403545.1253333,200.0,-0.7696682824234483,2.5846318458746493
1748403545.1452093,200.0,-0.7173396133555345,2.645283617731671
